risk_score,address,borough,bldgclass,garage_type,yearbuilt,numfloors,has_chargers,total_ev_ports,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,bldgarea_sqft,garagearea_sqft,small_garage,lat,lon,reasons
25,147- 40 ARCHER AVENUE,QN,RM,under_residential,2017,29.0,False,0,4,2024-04-29,0,495846.0,36148.0,False,40.7005368,-73.8067826,"built 2017, modern code (+5); DOB sprinkler permit on record (+0); 29 floors, multi-story (+10); FDNY: 2 open sprinkler maintenance, 2 open inspection/testing violation(s) (+10)"
25,92-23 168TH STREET,QN,RM,under_residential,1973,23.0,False,0,9,2026-02-09,0,442798.0,82771.0,False,40.705591,-73.7916665,"built 1973, pre-IBC 2003 (+15); DOB sprinkler permit on record (+0); 23 floors, multi-story (+10)"
25,177-16 SOUTH CONDUIT AVENUE,QN,C1,under_residential,2004,2.0,False,0,0,none,0,20200.0,1200.0,True,40.6667653,-73.7723946,"built 2004, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,10-45 BEACH 21ST STREET,QN,RM,under_residential,2020,10.0,False,0,0,none,0,196193.0,28279.0,False,40.6036385,-73.754139,"built 2020, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 10 floors, multi-story (+10)"
25,51-10 ALMEDA AVENUE,QN,Y6,other,2007,2.0,False,0,0,none,0,80100.0,80100.0,False,40.600515,-73.7813207,"built 2007, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,136 BEACH 117 STREET,QN,R4,under_residential,2006,8.0,False,0,0,none,0,93200.0,18800.0,False,40.577924,-73.8367282,"built 2006, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 8 floors, multi-story (+10)"
25,SUMNER PLACE,SI,G0,standalone,2008,2.0,False,0,0,none,0,0.0,0.0,False,40.6353697,-74.0916701,"built 2008, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,1235 FOREST HILL ROAD,SI,RM,under_residential,2015,2.0,False,0,0,none,0,24679.0,3672.0,False,40.5892872,-74.1450703,"built 2015, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,450 WILD AVENUE,SI,Y6,other,2005,2.0,False,0,0,none,0,78722.0,73508.0,False,40.5816177,-74.1954366,"built 2005, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,2545 HYLAN BOULEVARD,SI,GW,standalone,2013,2.0,False,0,0,none,0,3106.0,3106.0,False,40.5696174,-74.1110671,"built 2013, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,1531 ARTHUR KILL ROAD,SI,GW,standalone,2005,1.5,False,0,0,none,0,3618.0,0.0,False,40.5628447,-74.1912787,"built 2005, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 1 floors (+5)"
25,28 LATOURETTE STREET,SI,G0,standalone,2019,2.0,False,0,0,none,0,769.0,0.0,False,40.5215916,-74.2107671,"built 2019, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
25,131 STORER AVENUE,SI,E1,other,2004,2.0,False,0,0,none,0,8000.0,4000.0,False,40.5385686,-74.2333461,"built 2004, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); 2 floors (+5)"
24,450 WASHINGTON STREET,MN,RM,under_residential,2007,16.0,True,3,13,2023-10-24,0,281549.0,30457.0,False,40.723889,-74.0107727,"built 2007, modern code (+5); DOB sprinkler permit on record (+0); 16 floors, multi-story (+10); FDNY: 1 open inspection/testing, 1 other open fire protection violation(s) (+4); EV chargers: 3 L2 + 0 DC fast (+5)"
24,360 SMITH STREET,BK,D6,under_residential,2011,7.0,False,0,0,none,0,65203.0,3924.0,False,40.6793885,-73.9958178,"built 2011, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 7 floors, multi-story (+10); FDNY: 2 open inspection/testing violation(s) (+4)"
24,186 21 STREET,BK,D1,under_residential,2017,5.0,False,0,0,none,0,34347.0,4569.0,False,40.662165,-73.995235,"built 2017, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 5 floors, multi-story (+10); FDNY: 1 other open fire protection violation(s) (+4)"
24,585 MARCY AVENUE,BK,RM,under_residential,2011,6.0,False,0,0,none,0,65845.0,9211.0,False,40.6951048,-73.948857,"built 2011, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 6 floors, multi-story (+10); FDNY: 2 open inspection/testing violation(s) (+4)"
24,504 MYRTLE AVENUE,BK,RM,under_residential,2015,8.0,False,0,4,2024-08-28,0,147257.0,21455.0,False,40.6933018,-73.9644908,"built 2015, modern code (+5); DOB sprinkler permit on record (+0); 8 floors, multi-story (+10); FDNY: 3 open inspection/testing violation(s) (+9)"
24,88 WITHERS,BK,RM,under_residential,2018,8.0,False,0,1,2020-04-03,0,37730.0,3770.0,False,40.7167882,-73.9484761,"built 2018, modern code (+5); DOB sprinkler permit on record (+0); 8 floors, multi-story (+10); FDNY: 2 open inspection/testing, 1 other open fire protection violation(s) (+9)"
24,1702 AVENUE Z,BK,RM,under_residential,2007,7.0,False,0,1,2012-02-07,0,31297.0,1476.0,True,40.5880211,-73.9521002,"built 2007, modern code (+5); DOB sprinkler permit on record (+0); 7 floors, multi-story (+10); FDNY: 1 open inspection/testing, 1 other open fire protection violation(s) (+9)"
