risk_score,confidence,station_name,station_address,borough,yearbuilt,numfloors,total_ev_ports,charger_open_date,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,facility_type,confidence_reason,bldgclass,bldgarea_sqft,lat,lon,reasons
20,high,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,66 Rockwell Pl,BK,2025,17.0,3,2015-11-13,3,2023-08-31,0,PAY_GARAGE,named garage operator,D7,62499.0,40.688086,-73.979234,"built 2025, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 17 floors, multi-story (+10)"
20,high,MPG 500 West 30th - Tesla Destination,500 W 30th,MN,2013,33.0,3,2018-05-24,4,2018-11-29,0,PAY_GARAGE,named garage operator + garage-classified building,RM,301475.0,40.752205,-74.001493,"built 2013, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 33 floors, multi-story (+10)"
20,high,MPG 530 West 30th - Tesla Destination,530 W 30th,MN,2015,33.0,3,2018-05-24,8,2021-01-26,0,PAY_GARAGE,named garage operator,D7,315586.0,40.75277,-74.00265,"built 2015, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 33 floors, multi-story (+10)"
20,high,iPark Eleventh Avenue Garage Corp. - Tesla Destination,552 W 30th St,MN,2008,34.0,3,2017-02-09,7,2021-08-02,0,PAY_GARAGE,named garage operator + garage-classified building,D8,387468.0,40.753049,-74.003333,"built 2008, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 34 floors, multi-story (+10)"
20,high,iPark NYC 400 E 35th NYU - Tesla Destination,400 E 35th St,MN,2014,47.0,3,2015-10-07,9,2025-09-24,0,PAY_GARAGE,named garage operator + garage-classified building,D8,922828.0,40.743971,-73.971882,"built 2014, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 47 floors, multi-story (+10)"
20,high,Quik Park 600 West 42nd Street (Silver Towers) LLC - Tesla Destination,600 W 42nd St,MN,2005,59.0,3,2016-03-10,9,2024-06-13,0,PAY_GARAGE,named garage operator + garage-classified building,RR,954682.0,40.761018,-73.99878,"built 2005, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 59 floors, multi-story (+10)"
20,medium,Glenwood Belmont Parking - Tesla Destination,320 E 46th St,MN,2014,27.0,2,2018-07-19,6,2025-02-05,0,PAY_GARAGE,name mentions garage/parking,H2,243912.0,40.760098,-73.988828,"built 2014, modern code (+5); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 27 floors, multi-story (+10)"
20,high,MPG 201 E 56th - Tesla Destination,201 E 56th,MN,2004,24.0,3,2018-05-24,4,2022-09-26,0,PAY_GARAGE,named garage operator,RM,59987.0,40.759437,-73.96767,"built 2004, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 24 floors, multi-story (+10)"
20,medium,MTP 625 W 57th Street - Tesla Destination,625 W 57th St,MN,2013,43.0,3,2017-06-13,6,2019-11-01,0,PAY_GARAGE,building has garage area + multiple floors,RM,632629.0,40.77108,-73.993142,"built 2013, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 43 floors, multi-story (+10)"
20,medium,Glenwood Grand Tier Parking - Tesla Destination,1930 Broadway,MN,2005,30.0,2,2017-04-03,27,2024-04-22,0,PAY_GARAGE,building has garage area + multiple floors,D7,377564.0,40.772574,-73.981951,"built 2005, modern code (+5); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 30 floors, multi-story (+10)"
20,high,Icon 80 Riverside Blvd - Tesla Destination,80 Riverside Blvd,MN,2006,30.0,3,2016-06-30,7,2025-08-19,0,PAY_GARAGE,named garage operator + garage-classified building,RM,321950.0,40.775374,-73.989687,"built 2006, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 30 floors, multi-story (+10)"
20,high,Icon Parking 100 Riverside Blvd. - Tesla Destination,100 Riverside Blvd,MN,2006,30.0,3,2016-01-21,7,2025-08-19,0,PAY_GARAGE,named garage operator + garage-classified building,RM,321950.0,40.775474,-73.989763,"built 2006, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 30 floors, multi-story (+10)"
20,medium,NYC FLEET / DCAS_PSAC2_1_L3,350 Marconi Street,BX,2007,13.0,3,,35,2025-12-11,0,FLEET_STATION,fleet station in garage-classified building,RB,743316.0,40.853529,-73.839048,"built 2007, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 13 floors, multi-story (+10)"
20,medium,NYC FLEET / DCAS_PSAC2_4_L3,350 Marconi St,BX,2007,13.0,1,,35,2025-12-11,0,FLEET_STATION,fleet station in garage-classified building,RB,743316.0,40.853529,-73.839048,"built 2007, modern code (+5); 1 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 13 floors, multi-story (+10)"
20,low,NYC FLEET / DOE_M104,344-360 2nd Ave,MN,2021,13.0,2,,9,2025-03-28,0,FLEET_STATION,fleet station — may be outdoor/surface lot,RM,67422.0,40.736103,-73.982196,"built 2021, modern code (+5); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 13 floors, multi-story (+10)"
